?genes_iri	?upRegulated
<http://example.org/onto/individual/ENSMUSG00000057092_CNSOverKidney>	"Fxyd3"
<http://example.org/onto/individual/ENSMUSG00000033788_CNSOverKidney>	"Dysf"
<http://example.org/onto/individual/ENSMUSG00000026712_CNSOverKidney>	"Mrc1"
<http://example.org/onto/individual/ENSMUSG00000023990_CNSOverKidney>	"Tfeb"
<http://example.org/onto/individual/ENSMUSG00000027956_CNSOverKidney>	"Tmem144"
<http://example.org/onto/individual/ENSMUSG00000054693_CNSOverKidney>	"Adam10"
<http://example.org/onto/individual/ENSMUSG00000011154_CNSOverKidney>	"1700026D08Rik"
<http://example.org/onto/individual/ENSMUSG00000034993_CNSOverKidney>	"Vat1"
<http://example.org/onto/individual/ENSMUSG00000093908_CNSOverKidney>	"Gm5784"
<http://example.org/onto/individual/ENSMUSG00000028680_CNSOverKidney>	"Plk3"
<http://example.org/onto/individual/ENSMUSG00000090053_CNSOverKidney>	"Palm2"
<http://example.org/onto/individual/ENSMUSG00000027506_CNSOverKidney>	"Tpd52"
<http://example.org/onto/individual/ENSMUSG00000054520_CNSOverKidney>	"Sh3bp2"
<http://example.org/onto/individual/ENSMUSG00000049409_CNSOverKidney>	"Prokr1"
<http://example.org/onto/individual/ENSMUSG00000039114_CNSOverKidney>	"Nrn1"
<http://example.org/onto/individual/ENSMUSG00000051652_CNSOverKidney>	"Lrrc3"
<http://example.org/onto/individual/ENSMUSG00000022788_CNSOverKidney>	"Fgd4"
<http://example.org/onto/individual/ENSMUSG00000071362_CNSOverKidney>	"Gm10330"
<http://example.org/onto/individual/ENSMUSG00000060923_CNSOverKidney>	"Acyp2"
<http://example.org/onto/individual/ENSMUSG00000041961_CNSOverKidney>	"Znrf3"
<http://example.org/onto/individual/ENSMUSG00000036634_CNSOverKidney>	"Mag"
<http://example.org/onto/individual/ENSMUSG00000045664_CNSOverKidney>	"Cdc42ep2"
<http://example.org/onto/individual/ENSMUSG00000015202_CNSOverKidney>	"Cnksr3"
