?genes_iri	?downRegulated
<http://example.org/onto/individual/ENSMUSG00000030361_CNSOverKidney>	"Klrb1a"
<http://example.org/onto/individual/ENSMUSG00000040717_CNSOverKidney>	"Il17rd"
<http://example.org/onto/individual/ENSMUSG00000000530_CNSOverKidney>	"Acvrl1"
<http://example.org/onto/individual/ENSMUSG00000022074_CNSOverKidney>	"Tnfrsf10b"
<http://example.org/onto/individual/ENSMUSG00000056492_CNSOverKidney>	"Adgrf5"
<http://example.org/onto/individual/ENSMUSG00000018925_CNSOverKidney>	"Heatr9"
<http://example.org/onto/individual/ENSMUSG00000029718_CNSOverKidney>	"Pcolce"
<http://example.org/onto/individual/ENSMUSG00000045954_CNSOverKidney>	"Sdpr"
<http://example.org/onto/individual/ENSMUSG00000048534_CNSOverKidney>	"Amica1"
<http://example.org/onto/individual/ENSMUSG00000028862_CNSOverKidney>	"Map3k6"
<http://example.org/onto/individual/ENSMUSG00000078816_CNSOverKidney>	"Prkcg"
<http://example.org/onto/individual/ENSMUSG00000038692_CNSOverKidney>	"Hoxb4"
<http://example.org/onto/individual/ENSMUSG00000028195_CNSOverKidney>	"Cyr61"
<http://example.org/onto/individual/ENSMUSG00000057706_CNSOverKidney>	"Mex3b"
<http://example.org/onto/individual/ENSMUSG00000030257_CNSOverKidney>	"Srgap3"
<http://example.org/onto/individual/ENSMUSG00000032373_CNSOverKidney>	"Car12"
<http://example.org/onto/individual/ENSMUSG00000074006_CNSOverKidney>	"Omp"
<http://example.org/onto/individual/ENSMUSG00000075702_CNSOverKidney>	"Selm"
<http://example.org/onto/individual/ENSMUSG00000074207_CNSOverKidney>	"Adh1"
<http://example.org/onto/individual/ENSMUSG00000028064_CNSOverKidney>	"Sema4a"
<http://example.org/onto/individual/ENSMUSG00000030218_CNSOverKidney>	"Mgp"
<http://example.org/onto/individual/ENSMUSG00000026737_CNSOverKidney>	"Pip4k2a"
<http://example.org/onto/individual/ENSMUSG00000062007_CNSOverKidney>	"Hsh2d"
<http://example.org/onto/individual/ENSMUSG00000000693_CNSOverKidney>	"Loxl3"
<http://example.org/onto/individual/ENSMUSG00000019842_CNSOverKidney>	"Traf3ip2"
<http://example.org/onto/individual/ENSMUSG00000027843_CNSOverKidney>	"Ptpn22"
<http://example.org/onto/individual/ENSMUSG00000090236_CNSOverKidney>	"Car15"
<http://example.org/onto/individual/ENSMUSG00000030067_CNSOverKidney>	"Foxp1"
<http://example.org/onto/individual/ENSMUSG00000027219_CNSOverKidney>	"Slc28a2"
<http://example.org/onto/individual/ENSMUSG00000030691_CNSOverKidney>	"Fchsd2"
<http://example.org/onto/individual/ENSMUSG00000004891_CNSOverKidney>	"Nes"
<http://example.org/onto/individual/ENSMUSG00000062590_CNSOverKidney>	"Armc9"
<http://example.org/onto/individual/ENSMUSG00000044469_CNSOverKidney>	"Tnfaip8l1"
<http://example.org/onto/individual/ENSMUSG00000079465_CNSOverKidney>	"Col4a3"
<http://example.org/onto/individual/ENSMUSG00000035112_CNSOverKidney>	"Wnk4"
<http://example.org/onto/individual/ENSMUSG00000033450_CNSOverKidney>	"Tagap"
<http://example.org/onto/individual/ENSMUSG00000033365_CNSOverKidney>	"Ipo13"
<http://example.org/onto/individual/ENSMUSG00000074254_CNSOverKidney>	"Cyp2a4"
<http://example.org/onto/individual/ENSMUSG00000037347_CNSOverKidney>	"Chst7"
<http://example.org/onto/individual/ENSMUSG00000009545_CNSOverKidney>	"Kcnq1"
<http://example.org/onto/individual/ENSMUSG00000019929_CNSOverKidney>	"Dcn"
<http://example.org/onto/individual/ENSMUSG00000001435_CNSOverKidney>	"Col18a1"
<http://example.org/onto/individual/ENSMUSG00000030160_CNSOverKidney>	"Tmem52b"
<http://example.org/onto/individual/ENSMUSG00000029674_CNSOverKidney>	"Limk1"
<http://example.org/onto/individual/ENSMUSG00000054619_CNSOverKidney>	"Mettl7a1"
<http://example.org/onto/individual/ENSMUSG00000028217_CNSOverKidney>	"Cdh17"
<http://example.org/onto/individual/ENSMUSG00000024338_CNSOverKidney>	"Psmb8"
<http://example.org/onto/individual/ENSMUSG00000033316_CNSOverKidney>	"Galnt9"
<http://example.org/onto/individual/ENSMUSG00000028484_CNSOverKidney>	"Psip1"
<http://example.org/onto/individual/ENSMUSG00000064181_CNSOverKidney>	"Rab3ip"
<http://example.org/onto/individual/ENSMUSG00000022636_CNSOverKidney>	"Alcam"
<http://example.org/onto/individual/ENSMUSG00000001444_CNSOverKidney>	"Tbx21"
<http://example.org/onto/individual/ENSMUSG00000031639_CNSOverKidney>	"Tlr3"
<http://example.org/onto/individual/ENSMUSG00000078921_CNSOverKidney>	"Tgtp2"
<http://example.org/onto/individual/ENSMUSG00000032012_CNSOverKidney>	"Pvrl1"
<http://example.org/onto/individual/ENSMUSG00000070304_CNSOverKidney>	"Scn2b"
<http://example.org/onto/individual/ENSMUSG00000022456_CNSOverKidney>	"Sep-03"
<http://example.org/onto/individual/ENSMUSG00000047867_CNSOverKidney>	"Gimap6"
<http://example.org/onto/individual/ENSMUSG00000020186_CNSOverKidney>	"Csrp2"
<http://example.org/onto/individual/ENSMUSG00000060550_CNSOverKidney>	"H2-Q7"
<http://example.org/onto/individual/ENSMUSG00000047793_CNSOverKidney>	"Sned1"
<http://example.org/onto/individual/ENSMUSG00000038267_CNSOverKidney>	"Slc22a23"
<http://example.org/onto/individual/ENSMUSG00000070348_CNSOverKidney>	"Ccnd1"
<http://example.org/onto/individual/ENSMUSG00000030352_CNSOverKidney>	"Tspan9"
<http://example.org/onto/individual/ENSMUSG00000072437_CNSOverKidney>	"Nanos1"
<http://example.org/onto/individual/ENSMUSG00000027351_CNSOverKidney>	"Spred1"
<http://example.org/onto/individual/ENSMUSG00000026043_CNSOverKidney>	"Col3a1"
<http://example.org/onto/individual/ENSMUSG00000030465_CNSOverKidney>	"Psd3"
<http://example.org/onto/individual/ENSMUSG00000039470_CNSOverKidney>	"Zdhhc2"
<http://example.org/onto/individual/ENSMUSG00000035407_CNSOverKidney>	"Kank4"
<http://example.org/onto/individual/ENSMUSG00000025856_CNSOverKidney>	"Pdgfa"
<http://example.org/onto/individual/ENSMUSG00000039007_CNSOverKidney>	"Cpq"
<http://example.org/onto/individual/ENSMUSG00000025577_CNSOverKidney>	"Cbx2"
<http://example.org/onto/individual/ENSMUSG00000027171_CNSOverKidney>	"Prrg4"
<http://example.org/onto/individual/ENSMUSG00000026525_CNSOverKidney>	"Opn3"
<http://example.org/onto/individual/ENSMUSG00000061742_CNSOverKidney>	"Slc22a12"
<http://example.org/onto/individual/ENSMUSG00000067889_CNSOverKidney>	"Sptbn2"
<http://example.org/onto/individual/ENSMUSG00000014303_CNSOverKidney>	"Glis2"
<http://example.org/onto/individual/ENSMUSG00000030329_CNSOverKidney>	"Pianp"
